product,mint,white,fluoride,kids,size,discount,familypack,priceperpack,Chosen,delta
59,1.0,1.0,0.0,0.0,3.9000000999999997,1.0,0.0,3.663495580293983,228,0.0228
60,1.0,1.0,0.0,0.0,3.9000001,1.0,1.0,3.4271427571428568,255,0.0255
61,1.0,1.0,0.0,0.0,4.8000002,0.0,0.0,5.043411059371362,0,0.0
62,1.0,1.0,0.0,0.0,4.8000002,0.0,1.0,4.74808728852459,1,0.0001
63,1.0,1.0,0.0,0.0,4.8000002,1.0,0.0,4.504454337628714,7,0.0007
64,1.0,1.0,0.0,0.0,4.8000002,1.0,1.0,4.234697789854065,30,0.003
65,0.0,1.0,1.0,0.0,3.9000001,0.0,0.0,4.757765803191489,0,0.0
66,0.0,1.0,1.0,0.0,3.9000001,0.0,1.0,4.511946702654867,0,0.0
67,0.0,1.0,1.0,0.0,3.9000001,1.0,0.0,4.3280215649170035,3,0.0003
68,0.0,1.0,1.0,0.0,3.9000001,1.0,1.0,4.098280044101433,13,0.0013
69,0.0,1.0,1.0,0.0,4.8000002,0.0,0.0,5.847199232419547,0,0.0
70,0.0,1.0,1.0,0.0,4.8000002,0.0,1.0,5.569651290348525,0,0.0
71,0.0,1.0,1.0,0.0,4.8000002,1.0,0.0,5.323202955970588,0,0.0
72,0.0,1.0,1.0,0.0,4.8000002,1.0,1.0,5.034801756634747,0,0.0
73,1.0,0.0,0.0,0.0,3.9000001,0.0,0.0,4.588776023776224,25,0.0025
74,1.0,0.0,0.0,0.0,3.9000001,0.0,1.0,4.323173941739131,38,0.0038
75,1.0,0.0,0.0,0.0,3.9000000999999997,1.0,0.0,4.143774150440917,447,0.0447
76,1.0,0.0,0.0,0.0,3.9000001,1.0,1.0,3.904820952631579,360,0.036
77,1.0,0.0,0.0,0.0,4.8000002,0.0,0.0,5.629864542099323,1,0.0001
78,1.0,0.0,0.0,0.0,4.8000002,0.0,1.0,5.316507476417911,5,0.0005
79,1.0,0.0,0.0,0.0,4.8000002,1.0,0.0,5.079599814222222,30,0.003
80,1.0,0.0,0.0,0.0,4.8000002,1.0,1.0,4.7987787174132945,36,0.0036
